name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
"Abbing, Mr. Anthony",male,42,3rd,S,United States,5547,7.11,0,0,0
"Abbott, Mr. Eugene Joseph",male,13,3rd,S,United States,2673,20.05,0,2,0
"Abbott, Mr. Rossmore Edward",male,16,3rd,S,United States,2673,20.05,1,1,0
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39,3rd,S,England,2673,20.05,1,1,1
"Abelseth, Miss. Karen Marie",female,16,3rd,S,Norway,348125,7.13,0,0,1
"Abelseth, Mr. Olaus Jørgensen",male,25,3rd,S,United States,348122,7.13,0,0,1
"Abelson, Mr. Samuel",male,30,2nd,C,France,3381,24,1,0,0
"Abelson, Mrs. Hannah",female,28,2nd,C,France,3381,24,1,0,1
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27,3rd,C,Lebanon,2699,18.1509,0,0,1
"Abrahamsson, Mr. Abraham August Johannes",male,20,3rd,S,Finland,3101284,7.1806,0,0,1
"Ådahl, Mr. Mauritz",male,30,3rd,S,Sweden,7076,7.05,0,0,0
"Adams, Mr. John",male,27,3rd,S,England,341826,8.01,0,0,0
"Ahlin, Mrs. Johanna Persdotter",female,40,3rd,S,Sweden,7546,9.0906,1,0,0
"Aks, Master. Frank Philip",male,0.8333333333,3rd,S,England,392091,9.07,0,1,1
"Aks, Mrs. Leah",female,18,3rd,S,England,392091,9.07,0,1,1
"Aldworth, Mr. Augustus Henry",male,35,2nd,S,England,248744,13,0,0,0
"Alexander, Mr. William Albert",male,25,3rd,S,England,3474,7.1709,0,0,0
"Alhomäki, Mr. Ilmari Rudolf",male,19,3rd,S,Finland,3101287,7.1806,0,0,0
"Ali, Mr. Ahmed",male,24,3rd,S,Argentina,3101311,7.01,0,0,0
"Ali, Mr. William",male,25,3rd,S,Argentina,3101312,7.01,0,0,0
"Allen, Miss. Elisabeth Walton",female,29,1st,S,United States,24160,211.6009,0,0,1
"Allen, Mr. William Henry",male,39,3rd,S,England,373450,8.01,0,0,0
"Allison, Master. Hudson Trevor",male,0.9166666667,1st,S,Canada,113781,151.16,1,2,1
"Allison, Miss. Helen Loraine",female,2,1st,S,Canada,113781,151.16,1,2,0
"Allison, Mr. Hudson Joshua Creighton",male,30,1st,S,Canada,113781,151.16,1,2,0
"Allison, Mrs. Bessie Waldo",female,25,1st,S,United States,113781,151.16,1,2,0
"Allum, Mr. Owen George",male,18,3rd,S,England,2223,8.06,0,0,0
"Al-Munà, Mr. Farīd Husayn Qāsim",male,19,3rd,C,Lebanon,2700,7.0407,0,0,0
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3rd,S,Denmark,350046,7.1701,1,0,1
"Andersen, Mr. Albert Karvin",male,33,3rd,S,Norway,4001,22.1006,0,0,0
"Anderson, Mr. Harry",male,47,1st,S,United States,19952,26.11,0,0,1
"Andersson, Master. Sigvard Harald Elias",male,4,3rd,S,Sweden,347082,31.0506,4,2,0
"Andersson, Miss. Ebba Iris Alfrida",female,6,3rd,S,Sweden,347082,31.0506,4,2,0
"Andersson, Miss. Ellis Anna Maria",female,2,3rd,S,Sweden,347082,31.0506,4,2,0
"Andersson, Miss. Erna Alexandra",female,16,3rd,S,Finland,3101281,7.1806,4,2,1
"Andersson, Miss. Ida Augusta Margareta",female,38,3rd,S,Sweden,347091,7.1506,4,2,0
"Andersson, Miss. Ingeborg Constanzia",female,9,3rd,S,Sweden,347082,31.0506,4,2,0
"Andersson, Miss. Sigrid Elisabeth",female,11,3rd,S,Sweden,347082,31.0506,4,2,0
"Andersson, Mr. Anders Johan",male,39,3rd,S,Sweden,347082,31.0506,1,5,0
"Andersson, Mr. Johan Samuel",male,26,3rd,S,Sweden,347075,7.1506,0,0,0
"Andersson, Mrs. Alfrida Konstantia Brogren",female,39,3rd,S,Sweden,347082,31.0506,1,5,0
"Andreasson, Mr. Pål Edvin",male,20,3rd,S,Sweden,347466,7.1701,0,0,0
"Andrew, Mr. Edgar Samuel",male,17,2nd,S,Argentina,231945,11.1,0,0,0
"Andrew, Mr. Frank Thomas",male,27,2nd,S,England,34050,10.1,0,0,0
"Andrews, Miss. Kornelia Theodosia",female,62,1st,C,United States,13502,77.1902,1,0,1
"Andrews, Mr. Thomas",male,39,1st,B,Northern Ireland,112050,NA,0,0,0
"Angheloff, Mr. Minko",male,26,3rd,S,Bulgaria,349202,7.1711,0,0,0
"Angle, Mrs. Florence Agnes",female,36,2nd,S,England,226875,26,1,0,1
"Angle, Mr. William",male,31,2nd,S,England,226875,26,1,0,0
"Appleton, Mrs. Charlotte",female,53,1st,S,United States,11769,51.0907,2,0,1
"Arnold-Franchi, Mr. Josef",male,25,3rd,S,Switzerland,349237,17.16,1,0,0
"Arnold-Franchi, Mrs. Josefine",female,18,3rd,S,Switzerland,349237,17.16,1,0,0
"Aronsson, Mr. Ernst Axel Algot",male,25,3rd,S,Sweden,349911,7.1506,0,0,0
"Artagaveytia, Mr. Ramon",male,71,1st,C,Argentina,17609,49.1001,0,0,0
"Ashby, Mr. John",male,57,2nd,S,England,244346,13,0,0,0
"Asim, Mr. Adola",male,35,3rd,S,Argentina,3101310,7.01,0,0,0
"Asplund, Master. Carl Edgar",male,5,3rd,S,Sweden,347077,31.0709,4,2,0
"Asplund, Master. Clarence Gustaf Hugo",male,9,3rd,S,Sweden,347077,31.0709,4,2,0
"Asplund, Master. Edvin Rojj Felix",male,3,3rd,S,Sweden,347077,31.0709,4,2,1
"Asplund, Master. Filip Oscar",male,13,3rd,S,Sweden,347077,31.0709,4,2,0
"Asplund, Miss. Lillian Gertrud",female,5,3rd,S,Sweden,347077,31.0709,4,2,1
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40,3rd,S,Sweden,347077,31.0709,1,5,0
"Asplund, Mr. Johan Charles",male,23,3rd,S,Sweden,350054,7.1511,0,0,1
"Asplund, Mrs. Selma Augusta Emilia",female,38,3rd,S,Sweden,347077,31.0709,1,5,1
"Assaf, Mrs. Mariana",female,45,3rd,C,Lebanon,2696,7.0406,0,0,1
"Assam, Mr. Ali",male,23,3rd,S,Argentina,3101309,7.01,0,0,0
"Astor, Colonel. John Jacob",male,47,1st,C,United States,17757,247.1006,1,0,0
"Astor, Mrs. Madeleine Talmage",female,18,1st,C,United States,17757,247.1006,1,0,1
"Attalah, Miss. Malake",female,17,3rd,C,Lebanon,2627,14.0902,0,0,0
"Attala, Mr. Sleiman",male,27,3rd,C,Canada,2694,7.0406,0,0,0
"Aubart, Mme. Léontine Pauline",female,24,1st,C,France,17477,69.06,0,0,1
"Augustsson, Mr. Albert",male,23,3rd,S,Sweden,347468,7.1701,0,0,0
"Ayoub Daher, Miss. Banoura",female,15,3rd,C,Lebanon,2687,7.0407,0,0,1
"Backström, Mr. Karl Alfred",male,32,3rd,S,Finland,3101278,15.17,1,0,0
"Backström, Mrs. Maria Mathilda",female,33,3rd,S,Finland,3101278,15.17,3,0,1
"Baclini, Miss. Eugenie",female,3,3rd,C,Lebanon,2666,19.0502,2,1,1
"Baclini, Miss. Helene Barbara",female,0.75,3rd,C,Lebanon,2666,19.0502,2,1,1
"Baclini, Miss. Marie Catherine",female,5,3rd,C,Lebanon,2666,19.0502,2,1,1
"Baclini, Mrs. Latifa",female,23,3rd,C,Lebanon,2666,19.0502,0,3,1
"Badman, Miss. Emily Louisa",female,18,3rd,S,England,31416,8.01,0,0,1
"Badt, Mr. Mohamed",male,40,3rd,C,Lebanon,2623,7.0406,0,0,0
"Bailey, Mr. Percy",male,18,2nd,S,England,29108,11.1,0,0,0
"Bainbrigge, Mr. Charles Robert",male,22,2nd,S,Channel Islands,31030,10.1,0,0,0
"Balkic, Mr. Cerin",male,26,3rd,S,Bosnia,349248,7.1711,0,0,0
"Balls, Mrs. Ada E.",female,36,2nd,S,England,28551,13,0,0,1
"Banfield, Mr. Frederick James",male,28,2nd,S,England,34068,10.1,0,0,0
"Banski, Mrs. Mara",female,31,3rd,S,Hungary,349244,8.1308,0,0,1
"Barbara, Miss. Saiide",female,18,3rd,C,Lebanon,2691,14.0901,0,1,0
"Barbara, Mrs. Catherine David",female,45,3rd,C,Lebanon,2691,14.0901,0,1,0
"Barber, Miss. Ellen Mary",female,27,1st,S,NA,19877,78.17,0,0,1
"Barkworth, Mr. Algernon Henry",male,47,1st,S,England,27042,30,0,0,1
"Barry, Miss. Julia",female,30,3rd,Q,Ireland,330844,7.1707,0,0,0
"Barton, Mr. David John",male,22,3rd,S,England,324669,8.01,0,0,0
"Bassani, Mrs. Albina",female,32,1st,C,Italy,11813,76.051,0,0,1
"Bateman, Revd. Robert James",male,52,2nd,S,England,1166,12.1006,0,0,0
"Batoshev, Mr. Hristo Lalev",male,23,3rd,S,Bulgaria,349217,7.1711,0,0,0
"Baumann, Mr. John D.",male,60,1st,C,United States,17318,25.1806,0,0,0
"Baxter, Mr. Quigg Edmond",male,24,1st,C,Canada,17558,247.1005,0,1,0
"Baxter, Mrs. Hélène",female,50,1st,C,Canada,17558,247.1005,0,1,1
"Beane, Mr. Edward",male,32,2nd,S,England,2908,26,1,0,1
"Beane, Mrs. Ethel",female,22,2nd,S,England,2908,26,1,0,1
"Beattie, Mr. Thomson",male,36,1st,S,Canada,13050,75.041,0,0,0
"Beauchamp, Mr. Henry James",male,44,2nd,S,England,244358,26,0,0,0
"Beavan, Mr. William Thomas",male,20,3rd,S,England,323951,8.01,0,0,0
"Becker, Master. Richard F.",male,1,2nd,S,India,230136,39,2,1,1
"Becker, Miss. Marion Louise",female,4,2nd,S,India,230136,39,2,1,1
"Becker, Miss. Ruth Elizabeth",female,12,2nd,S,India,230136,39,2,1,1
"Becker, Mrs. Nellie E.",female,35,2nd,S,United States,230136,39,0,3,1
"Beckwith, Mr. Richard Leonard",male,37,1st,S,United States,11751,52.1101,1,1,1
"Beckwith, Mrs. Sallie",female,46,1st,S,United States,11751,52.1101,1,1,1
"Beesley, Mr. Lawrence",male,34,2nd,S,England,248698,13,0,0,1
"Behr, Mr. Karl Howell",male,26,1st,C,United States,111369,30,0,0,1
"Bengtsson, Mr. Johan Viktor",male,26,3rd,S,Sweden,347068,7.1506,0,0,0
"Bentham, Miss. Lillian W.",female,19,2nd,S,United States,28404,13,0,0,1
